starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 02 09:20:11 2015	1446436211	1	17	17	17
Mon Nov 02 09:20:11 2015	1446436211	1	16	17	16
Mon Nov 02 09:20:13 2015	1446436213	1	17	17	16
Mon Nov 02 09:20:11 2015	1446436211	1	16	17	16
Mon Nov 02 09:20:13 2015	1446436213	1	16	17	16
Mon Nov 02 09:20:11 2015	1446436211	1	17	17	17
Mon Nov 02 09:20:13 2015	1446436213	1	17	17	16
Mon Nov 02 09:20:12 2015	1446436212	2	15	17	15
Mon Nov 02 09:20:13 2015	1446436213	1	16	17	16
Mon Nov 02 09:20:13 2015	1446436213	2	15	17	15
Mon Nov 02 09:20:11 2015	1446436211	2	15	17	15
Mon Nov 02 09:20:12 2015	1446436212	1	16	17	16
Mon Nov 02 09:20:13 2015	1446436213	1	17	17	17
Mon Nov 02 09:20:13 2015	1446436213	1	17	17	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	17	16
Mon Nov 02 09:20:13 2015	1446436213	1	17	17	17
Mon Nov 02 09:20:11 2015	1446436211	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	2	16	18	16
Mon Nov 02 09:20:11 2015	1446436211	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	18	17
Mon Nov 02 09:20:13 2015	1446436213	1	17	18	17
Mon Nov 02 09:20:13 2015	1446436213	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	18	17
Mon Nov 02 09:20:13 2015	1446436213	1	17	18	17
Mon Nov 02 09:20:11 2015	1446436211	1	16	18	16
Mon Nov 02 09:20:11 2015	1446436211	1	17	18	17
Mon Nov 02 09:20:11 2015	1446436211	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	2	16	18	16
Mon Nov 02 09:20:11 2015	1446436211	2	16	18	16
Mon Nov 02 09:20:13 2015	1446436213	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	17	18	17
Mon Nov 02 09:20:12 2015	1446436212	1	18	18	18
Mon Nov 02 09:20:12 2015	1446436212	1	18	18	18
Mon Nov 02 09:20:12 2015	1446436212	1	18	18	18
Mon Nov 02 09:20:12 2015	1446436212	1	18	18	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	18	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	2	17	19	17
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	3	15	19	15
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:12 2015	1446436212	2	17	19	17
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	17	19	17
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:12 2015	1446436212	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:12 2015	1446436212	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:12 2015	1446436212	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:12 2015	1446436212	1	19	19	19
Mon Nov 02 09:20:11 2015	1446436211	1	19	19	18
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:12 2015	1446436212	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	19	19	19
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	19	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:11 2015	1446436211	1	19	19	19
Mon Nov 02 09:20:12 2015	1446436212	2	18	19	17
Mon Nov 02 09:20:13 2015	1446436213	1	18	19	18
Mon Nov 02 09:20:13 2015	1446436213	2	17	19	17
Mon Nov 02 09:20:12 2015	1446436212	1	19	19	19
Mon Nov 02 09:20:12 2015	1446436212	1	18	19	18
Mon Nov 02 09:20:11 2015	1446436211	1	19	19	19
Mon Nov 02 09:20:13 2015	1446436213	2	18	19	18
Mon Nov 02 09:20:12 2015	1446436212	2	18	20	18
Mon Nov 02 09:20:12 2015	1446436212	2	18	20	18
Mon Nov 02 09:20:12 2015	1446436212	3	16	20	16
Mon Nov 02 09:20:12 2015	1446436212	2	17	20	17
Mon Nov 02 09:20:12 2015	1446436212	2	18	20	18
Mon Nov 02 09:20:12 2015	1446436212	2	18	20	17
Mon Nov 02 09:20:12 2015	1446436212	1	19	20	19
Mon Nov 02 09:20:13 2015	1446436213	1	19	20	19
Mon Nov 02 09:20:12 2015	1446436212	3	17	20	17
Mon Nov 02 09:20:12 2015	1446436212	2	19	20	18
Mon Nov 02 09:20:13 2015	1446436213	1	20	20	20
Mon Nov 02 09:20:12 2015	1446436212	1	20	20	20
Mon Nov 02 09:20:12 2015	1446436212	1	20	20	20
Mon Nov 02 09:20:13 2015	1446436213	1	20	20	20
Mon Nov 02 09:20:12 2015	1446436212	1	20	21	20
Mon Nov 02 09:20:13 2015	1446436213	1	20	21	20
Mon Nov 02 09:20:12 2015	1446436212	1	19	21	19
Mon Nov 02 09:20:13 2015	1446436213	2	19	21	19
Mon Nov 02 09:20:13 2015	1446436213	1	20	21	20
Mon Nov 02 09:20:13 2015	1446436213	1	20	21	20
Mon Nov 02 09:20:11 2015	1446436211	1	20	21	20
Mon Nov 02 09:20:12 2015	1446436212	1	20	21	20
Mon Nov 02 09:20:11 2015	1446436211	1	20	21	20
Mon Nov 02 09:20:12 2015	1446436212	1	20	21	20
Mon Nov 02 09:20:13 2015	1446436213	1	20	21	20
Mon Nov 02 09:20:11 2015	1446436211	1	20	21	20
Mon Nov 02 09:20:12 2015	1446436212	3	18	21	18
Mon Nov 02 09:20:12 2015	1446436212	1	20	21	20
Mon Nov 02 09:20:12 2015	1446436212	1	20	21	20
Mon Nov 02 09:20:11 2015	1446436211	1	20	21	20
Mon Nov 02 09:20:13 2015	1446436213	1	20	21	20
Mon Nov 02 09:20:13 2015	1446436213	2	19	21	19
Mon Nov 02 09:20:11 2015	1446436211	1	20	21	20
Mon Nov 02 09:20:13 2015	1446436213	1	20	21	20
Mon Nov 02 09:20:12 2015	1446436212	3	18	21	18
Mon Nov 02 09:20:12 2015	1446436212	2	19	21	19
Mon Nov 02 09:20:13 2015	1446436213	2	19	21	19
Mon Nov 02 09:20:12 2015	1446436212	2	19	21	19
Mon Nov 02 09:20:11 2015	1446436211	1	21	21	20
Mon Nov 02 09:20:12 2015	1446436212	1	20	21	20
Mon Nov 02 09:20:12 2015	1446436212	2	19	21	18
Mon Nov 02 09:20:11 2015	1446436211	1	21	21	21
Mon Nov 02 09:20:12 2015	1446436212	1	20	22	20
Mon Nov 02 09:20:12 2015	1446436212	1	21	22	21
Mon Nov 02 09:20:12 2015	1446436212	2	20	22	20
Mon Nov 02 09:20:12 2015	1446436212	3	20	22	20
Mon Nov 02 09:20:12 2015	1446436212	1	21	22	21
Mon Nov 02 09:20:13 2015	1446436213	1	21	22	21
Mon Nov 02 09:20:11 2015	1446436211	3	20	22	20
Mon Nov 02 09:20:13 2015	1446436213	1	22	22	22
Mon Nov 02 09:20:12 2015	1446436212	1	21	22	21
Mon Nov 02 09:20:11 2015	1446436211	4	18	22	18
Mon Nov 02 09:20:12 2015	1446436212	2	21	22	21
Mon Nov 02 09:20:12 2015	1446436212	1	21	22	21
Mon Nov 02 09:20:12 2015	1446436212	1	22	22	21
Mon Nov 02 09:20:12 2015	1446436212	1	21	22	21
Mon Nov 02 09:20:11 2015	1446436211	3	20	22	20
Mon Nov 02 09:20:11 2015	1446436211	1	22	22	22
Mon Nov 02 09:20:12 2015	1446436212	1	21	22	21
Mon Nov 02 09:20:12 2015	1446436212	1	21	23	21
Mon Nov 02 09:20:12 2015	1446436212	1	22	23	22
Mon Nov 02 09:20:12 2015	1446436212	2	21	23	21
Mon Nov 02 09:20:12 2015	1446436212	1	22	23	21
Mon Nov 02 09:20:12 2015	1446436212	2	21	23	21
Mon Nov 02 09:20:13 2015	1446436213	1	22	23	22
Mon Nov 02 09:20:11 2015	1446436211	3	20	23	20
Mon Nov 02 09:20:13 2015	1446436213	1	22	23	22
Mon Nov 02 09:20:11 2015	1446436211	1	22	23	22
Mon Nov 02 09:20:13 2015	1446436213	1	22	23	22
Mon Nov 02 09:20:12 2015	1446436212	2	21	23	21
Mon Nov 02 09:20:11 2015	1446436211	3	20	23	20
Mon Nov 02 09:20:11 2015	1446436211	2	21	23	21
Mon Nov 02 09:20:12 2015	1446436212	2	21	23	21
Mon Nov 02 09:20:12 2015	1446436212	1	23	23	23
Mon Nov 02 09:20:13 2015	1446436213	1	23	23	22
Mon Nov 02 09:20:10 2015	1446436210	1	22	23	22
Mon Nov 02 09:20:12 2015	1446436212	2	22	23	22
Mon Nov 02 09:20:11 2015	1446436211	1	23	23	23
Mon Nov 02 09:20:12 2015	1446436212	1	22	23	22
Mon Nov 02 09:20:10 2015	1446436210	1	22	23	22
Mon Nov 02 09:20:11 2015	1446436211	1	22	23	22
Mon Nov 02 09:20:12 2015	1446436212	2	21	23	21
Mon Nov 02 09:20:13 2015	1446436213	1	23	23	23
Mon Nov 02 09:20:10 2015	1446436210	1	22	23	22
Mon Nov 02 09:20:12 2015	1446436212	2	21	23	21
Mon Nov 02 09:20:11 2015	1446436211	0	23	23	23
Mon Nov 02 09:20:10 2015	1446436210	2	22	23	22
Mon Nov 02 09:20:13 2015	1446436213	1	23	23	23
Mon Nov 02 09:20:10 2015	1446436210	1	22	23	22
Mon Nov 02 09:20:10 2015	1446436210	1	22	23	22
Mon Nov 02 09:20:10 2015	1446436210	1	22	23	22
Mon Nov 02 09:20:10 2015	1446436210	2	22	23	22
Mon Nov 02 09:20:10 2015	1446436210	1	22	24	22
Mon Nov 02 09:20:10 2015	1446436210	2	22	24	22
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:13 2015	1446436213	1	22	24	22
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:12 2015	1446436212	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	22	24	22
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	22	24	22
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:12 2015	1446436212	1	23	24	23
Mon Nov 02 09:20:12 2015	1446436212	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	2	22	24	22
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:13 2015	1446436213	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:13 2015	1446436213	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:12 2015	1446436212	1	23	24	23
Mon Nov 02 09:20:13 2015	1446436213	1	24	24	24
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	2	22	24	22
Mon Nov 02 09:20:13 2015	1446436213	1	23	24	23
Mon Nov 02 09:20:13 2015	1446436213	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:13 2015	1446436213	2	23	24	23
Mon Nov 02 09:20:13 2015	1446436213	1	24	24	23
Mon Nov 02 09:20:12 2015	1446436212	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	24	24	24
Mon Nov 02 09:20:10 2015	1446436210	2	23	24	23
Mon Nov 02 09:20:10 2015	1446436210	1	24	24	23
Mon Nov 02 09:20:12 2015	1446436212	3	22	25	22
Mon Nov 02 09:20:11 2015	1446436211	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:12 2015	1446436212	1	24	25	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	1	23	25	23
Mon Nov 02 09:20:12 2015	1446436212	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:12 2015	1446436212	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:11 2015	1446436211	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	1	23	25	23
Mon Nov 02 09:20:13 2015	1446436213	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	1	24	25	24
Mon Nov 02 09:20:12 2015	1446436212	1	24	25	24
Mon Nov 02 09:20:12 2015	1446436212	1	24	25	24
Mon Nov 02 09:20:12 2015	1446436212	2	23	25	23
Mon Nov 02 09:20:13 2015	1446436213	1	24	25	24
Mon Nov 02 09:20:12 2015	1446436212	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:13 2015	1446436213	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	1	24	25	24
Mon Nov 02 09:20:11 2015	1446436211	2	23	25	23
Mon Nov 02 09:20:11 2015	1446436211	2	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:12 2015	1446436212	1	24	25	24
Mon Nov 02 09:20:10 2015	1446436210	2	23	25	23
Mon Nov 02 09:20:13 2015	1446436213	2	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	3	23	25	23
Mon Nov 02 09:20:10 2015	1446436210	3	23	25	23
Mon Nov 02 09:20:13 2015	1446436213	1	24	25	24
Mon Nov 02 09:20:11 2015	1446436211	2	24	25	24
Mon Nov 02 09:20:13 2015	1446436213	1	25	26	24
Mon Nov 02 09:20:12 2015	1446436212	2	23	26	23
Mon Nov 02 09:20:10 2015	1446436210	2	23	26	23
Mon Nov 02 09:20:13 2015	1446436213	1	25	26	25
Mon Nov 02 09:20:13 2015	1446436213	1	25	26	25
Mon Nov 02 09:20:10 2015	1446436210	1	25	26	25
Mon Nov 02 09:20:10 2015	1446436210	2	24	26	24
Mon Nov 02 09:20:12 2015	1446436212	2	24	26	24
Mon Nov 02 09:20:11 2015	1446436211	3	23	26	23
Mon Nov 02 09:20:12 2015	1446436212	1	25	26	25
Mon Nov 02 09:20:12 2015	1446436212	2	24	26	24
Mon Nov 02 09:20:11 2015	1446436211	1	26	26	25
Mon Nov 02 09:20:12 2015	1446436212	2	24	26	24
Mon Nov 02 09:20:11 2015	1446436211	2	24	26	24
Mon Nov 02 09:20:10 2015	1446436210	2	24	26	24
Mon Nov 02 09:20:12 2015	1446436212	1	25	26	25
Mon Nov 02 09:20:13 2015	1446436213	1	25	26	25
Mon Nov 02 09:20:13 2015	1446436213	1	26	26	26
Mon Nov 02 09:20:10 2015	1446436210	2	24	26	24
Mon Nov 02 09:20:12 2015	1446436212	3	24	26	24
Mon Nov 02 09:20:10 2015	1446436210	2	24	26	24
Mon Nov 02 09:20:12 2015	1446436212	1	26	26	26
Mon Nov 02 09:20:13 2015	1446436213	1	26	26	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	26	26
Mon Nov 02 09:20:10 2015	1446436210	1	25	26	25
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:13 2015	1446436213	2	25	27	24
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:13 2015	1446436213	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:10 2015	1446436210	2	24	27	24
Mon Nov 02 09:20:13 2015	1446436213	1	25	27	25
Mon Nov 02 09:20:10 2015	1446436210	1	25	27	25
Mon Nov 02 09:20:11 2015	1446436211	2	25	27	25
Mon Nov 02 09:20:13 2015	1446436213	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:10 2015	1446436210	2	25	27	25
Mon Nov 02 09:20:13 2015	1446436213	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:13 2015	1446436213	2	25	27	25
Mon Nov 02 09:20:13 2015	1446436213	1	26	27	26
Mon Nov 02 09:20:13 2015	1446436213	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:13 2015	1446436213	2	25	27	25
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:10 2015	1446436210	3	24	27	24
Mon Nov 02 09:20:10 2015	1446436210	2	24	27	24
Mon Nov 02 09:20:13 2015	1446436213	1	27	27	27
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	26	27	26
Mon Nov 02 09:20:13 2015	1446436213	1	26	27	26
Mon Nov 02 09:20:13 2015	1446436213	2	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	2	25	27	25
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:11 2015	1446436211	1	27	27	26
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:11 2015	1446436211	1	27	27	27
Mon Nov 02 09:20:13 2015	1446436213	2	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	2	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	27	27	27
Mon Nov 02 09:20:11 2015	1446436211	1	26	27	26
Mon Nov 02 09:20:12 2015	1446436212	1	27	27	26
Mon Nov 02 09:20:13 2015	1446436213	1	26	27	26
Mon Nov 02 09:20:11 2015	1446436211	1	27	28	27
Mon Nov 02 09:20:11 2015	1446436211	2	26	28	26
Mon Nov 02 09:20:13 2015	1446436213	1	27	28	27
Mon Nov 02 09:20:12 2015	1446436212	1	27	28	27
Mon Nov 02 09:20:12 2015	1446436212	3	24	28	24
Mon Nov 02 09:20:12 2015	1446436212	2	25	28	25
Mon Nov 02 09:20:13 2015	1446436213	2	26	28	26
Mon Nov 02 09:20:12 2015	1446436212	1	27	28	27
Mon Nov 02 09:20:13 2015	1446436213	1	27	28	27
Mon Nov 02 09:20:12 2015	1446436212	1	27	28	27
